leafDM,internodeDM,woodDM,rootDM,berryDM,leafNSC,intNSC,trunkNSC,fineRootNSC,berrySugar,KM_BERRY,KM_ROOTS,KM_SECONDARY,HYDROLYSIS_RATE,day,hourOfDay,scenario,structuralRootDM,structuralRootNSC,cordonDM,cordonNSC
134911.5999857789,138720.74714068632,129086.56289381739,29162.6746997343,507676.13031704904,28085.42800143769,6971.095928606555,8564.13087313138,2739.919929968262,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,21,21,0,274116.79111405165,24761.711312489053,59817.05036748856,3556.4314913992303
134120.72096519583,138830.20188969257,129106.94579258349,29161.95908221614,508170.24025363784,27737.97507191112,6971.689848528222,8563.274879860506,2738.803268121624,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,21,22,0,274141.3702729674,24752.017108397027,59845.40306230692,3556.3733985331373
133356.14724500658,138937.19851090372,129127.2378352763,29161.586644245144,508650.0445797078,27402.078718606735,6972.290369356961,8562.61478846036,2737.851190017605,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,21,23,0,274168.2792814325,24743.763130144616,59873.201241106115,3556.3614272010045
132610.8044928302,139042.10053102564,129147.28953452382,29161.348885547468,509117.7931254061,27074.631010417248,6972.901516948805,8562.047231840716,2736.972762422705,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,22,0,0,274195.78281160246,24736.154749111673,59900.489716953176,3556.372966697486
131881.46135052547,139145.19479196766,129167.09364765562,29161.193007903912,509575.15370677976,26754.21233091166,6973.5196383585935,8561.540575313196,2736.1432771255018,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,22,1,0,274223.49594151933,24728.975479082605,59927.329019734454,3556.3999718670266
131159.26375616115,139247.52143017892,129186.74467414345,29161.04961899401,510027.708594925,26436.932869289423,6974.125480308176,8561.03522889577,2735.324587764287,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,22,2,0,274251.0970849263,24721.889584974786,59953.96585387419,3556.4244364258366
130434.08196759304,139350.3122645315,129206.36379288766,29160.848640451462,510481.9946332665,26118.34237653424,6974.69381799081,8560.46449999772,2734.4765687157155,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,22,3,0,274278.3119178398,24714.543377117654,59980.69440951318,3556.42535977629
129697.35680446129,139454.57707970645,129226.02339537803,29160.51459993376,510943.43101962825,25794.680590693253,6975.198421888963,8559.760089206324,2733.558554815197,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,22,4,0,274304.75750541233,24706.578373627206,60007.74961795298,3556.381142461719
129469.54974678294,139565.18917683943,129248.04553646603,29160.556844722483,511415.9444457039,25694.599253981556,6976.320699482203,8559.682646441088,2732.7741865833045,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,22,5,0,274336.32805658184,24699.854074911615,60036.71959565704,3556.6219942328053
129923.17187176974,139680.750685446,129271.81913753563,29160.79119769506,511897.1894575821,25893.886796226034,6977.944637193323,8560.056930827723,2732.050836594844,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,22,6,0,274370.97904299624,24693.72228832676,60067.16161474063,3557.0812735204117
