leafDM,internodeDM,woodDM,rootDM,berryDM,leafNSC,intNSC,trunkNSC,fineRootNSC,berrySugar,KM_BERRY,KM_ROOTS,KM_SECONDARY,HYDROLYSIS_RATE,day,hourOfDay,scenario,structuralRootDM,structuralRootNSC,cordonDM,cordonNSC
0.0,94473.32131695868,115409.29415504058,27287.20831605836,247751.65303822406,0.0,4708.448881016266,6100.080872284994,2256.8447032207728,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,3,2,245570.6949617224,20311.60554936708,46997.75525824425,2473.9347083893836
0.0,94461.78143059355,115393.65656130467,27280.746811282635,247837.8191677466,0.0,4702.7251074934975,6092.673910262809,2254.0928696591977,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,4,2,245512.3967679315,20286.83903956593,46991.671405991314,2470.9308411900884
0.0,94449.24502650222,115376.65548064666,27273.72086771501,247931.8922730366,0.0,4696.501829689696,6084.6200099874295,2251.1004127801966,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,5,2,245449.0058490679,20259.90692001016,46985.05904131707,2467.6646150175247
0.0,94435.29982643657,115357.72034733066,27265.89327140528,248037.20409489248,0.0,4689.569761638741,6075.647901731358,2247.7661184163403,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,6,2,245378.38244027153,20229.898261858085,46977.697980868834,2464.026022254652
0.0,94419.55303498812,115336.30018299248,27257.03372214107,248156.98834947162,0.0,4681.726419238585,6065.494986357913,2243.9916238191176,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,7,2,245298.4498407413,20195.92779812769,46969.376740799155,2459.908575554541
0.0,94401.67747416468,115311.92363653316,27246.943070164863,248294.02854036045,0.0,4672.797854702549,6053.935527960584,2239.6917102618713,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,8,2,245207.413538924,20157.22855909721,46959.91633290134,2455.2207429548025
0.0,94381.47899257795,115284.2884424815,27235.48970969644,248450.1243586571,0.0,4662.671158468329,6040.822825933621,2234.8097888624866,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,9,2,245104.090147065,20113.291243990818,46949.20542486769,2449.903051392571
0.0,94358.96951128726,115253.36127456863,27222.650737221455,248625.50038957858,0.0,4651.330944737165,6026.136563638971,2229.335461086837,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,10,2,244988.2791914914,20064.022269120374,46937.239100550105,2443.9472901545696
0.0,94334.413229785,115219.44953821039,27208.543063246943,248818.37689222707,0.0,4638.886161785085,6010.017640779541,2223.317915716452,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,11,2,244861.04325025794,20009.864320253888,46924.14531920195,2437.4106303699546
0.0,94308.30810905057,115183.20144631194,27193.428146127706,249024.96491739762,0.0,4625.5718329441515,5992.770535896347,2216.868276900855,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,12,2,244724.74761391638,19951.8175224121,46910.180819436675,2430.416571759083
0.0,94281.29115268508,115145.51856834812,27177.6840414818,249239.9766806279,0.0,4611.7199070481365,5974.825682709739,2210.1481611516897,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,13,2,244582.8012196758,19891.33642420725,46895.69034190432,2423.1396574624114
0.0,94254.02376309817,115107.42392330854,27161.756135409385,249457.39344196185,0.0,4597.7127033015495,5956.679188112543,2203.3488892999117,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,14,2,244439.20672208653,19830.142915552417,46881.05140871399,2415.781014101044
0.0,94227.15241967954,115069.96202649511,27146.107075473163,249671.06226695472,0.0,4583.943218603708,5938.841189603136,2196.669593521637,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,15,2,244298.1154933508,19770.029196089068,46866.64305827017,2408.5474296663187
0.0,94201.32810798644,115034.13357335342,27131.1716941933,249875.10209040222,0.0,4570.785023456883,5921.7964551847435,2190.297000677568,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,16,2,244163.43623180647,19712.6758092101,46852.83547436232,2401.635432723374
0.0,94177.1641669955,115000.79812221038,27117.309106142235,250064.4838394476,0.0,4558.553997189483,5905.954593936727,2184.3845292695437,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,17,2,244038.408291188,19659.463528340617,46839.95868614744,2395.211123633594
0.0,94155.12434522268,114970.55070893589,27104.757736538886,250235.74505357802,0.0,4547.465235653544,5891.594263936207,2179.0333913995523,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,18,2,243925.18972542053,19611.3032563831,46828.24985845674,2389.3875324473947
0.0,94135.43654767504,114943.64647412016,27093.61242759413,250387.42517678754,0.0,4537.608362168867,5878.831325660274,2174.283320989703,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,19,2,243824.6440938135,19568.55260191665,46817.81711368851,2384.2116758696966
0.0,94118.08257292735,114920.01066453136,27083.833067519543,250519.99998271404,0.0,4528.952807227361,5867.62578755878,2170.116571129543,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,20,2,243736.41545321624,19531.05183723376,46808.63950962194,2379.667364292941
0.0,94102.84866292281,114899.31500618641,27075.27739848955,250635.42757319202,0.0,4521.376200644627,5857.818685914204,2166.472017379721,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,21,2,243659.22407495746,19498.250839503417,46800.59549572404,2375.690151524427
0.0,94089.39877685059,114881.07718898477,27067.74190332143,250736.5557841986,0.0,4514.700672269719,5849.179195078836,2163.2625934456114,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,22,2,243591.2358675106,19469.366014415333,46793.501641860246,2372.186441525514
0.0,94077.3401445085,114864.7473506713,27060.99691080929,250826.61105751753,0.0,4508.72423167868,5841.445347520337,2160.3902198791143,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,12,23,2,243530.3796759869,19443.514643954048,46787.14671786898,2369.0500033685703
0.0,94067.998079527,114852.12177536372,27055.783344516956,250895.26056948438,0.0,4504.104308305286,5835.467989711837,2158.1705153086327,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,0,2,243483.34177968677,19423.537297798255,46782.22955635472,2366.625898147281
0.0,94059.16562376393,114840.18812941654,27050.855380164037,250959.92603092457,0.0,4499.73771125271,5829.818491919712,2156.0724906488426,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,1,2,243438.88112425987,19404.655067544365,46777.5813847885,2364.334756250423
0.0,94050.50659064407,114828.48989973117,27046.02457408593,251023.23615329835,0.0,4495.457310221282,5824.280540258438,2154.0158601401013,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,2,2,243395.29723243782,19386.145386047596,46773.02473707988,2362.0888521625193
0.0,94041.69029500996,114816.57883745007,27041.106014673638,251087.76779763657,0.0,4491.099016941334,5818.641801249982,2151.92185370369,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,3,2,243350.9214309086,19367.299320315877,46768.38524413992,2359.802073659189
0.0,94032.38304702878,114804.0019240629,27035.912710526136,251156.1282290857,0.0,4486.496985597078,5812.687626120449,2149.710806267812,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,4,2,243304.06634351992,19347.399887634376,46763.48678084818,2357.3873698726993
0.0,94022.24218345541,114790.29189548962,27030.251478884973,251231.01766307844,0.0,4481.480117218634,5806.196449921281,2147.3003874267556,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,5,2,243252.98885165705,19325.706110393563,46758.14798080526,2354.7548868528565
0.0,94010.91824410079,114774.96910002973,27023.923532346846,251315.22197202547,0.0,4475.872702695087,5798.94057943374,2144.605836470156,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,6,2,243195.895506309,19301.455143930325,46752.18312189356,2351.812287231255
0.0,93998.07146514222,114757.56279369668,27016.733065052136,251411.4928471822,0.0,4469.50213424152,5790.696179830284,2141.543604341346,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,7,2,243131.0200985678,19273.895044965604,46745.41058898587,2348.4688008039257
0.0,93983.40718138401,114737.65821511188,27008.50644541134,251522.27064360306,0.0,4462.216012330791,5781.265474588425,2138.039516743283,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,8,2,243056.7970341589,19242.35824610845,46737.67136236049,2344.6442283338865
0.0,93966.72996279047,114714.96965654519,26999.122202385828,251649.2534029996,0.0,4453.908767834255,5770.511305392534,2134.0415446329966,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,9,2,242972.13206605753,19206.376478617945,46728.85753810519,2340.2829580123534
0.0,93948.00550307274,114689.42618256631,26988.546590411104,251792.88620280108,0.0,4444.553039758648,5758.397876188905,2129.534983726229,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,10,2,242876.72328011008,19165.81740397022,46718.94542518041,2335.37048854148
0.0,93927.40770544528,114661.24161089401,26976.86351497342,251951.94403304896,0.0,4434.225607587905,5745.024447143824,2124.555291182372,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,11,2,242771.3306415175,19121.000141834775,46708.02179663165,2329.9470883256754
0.0,93905.32450399999,114630.93466302403,26964.285174949342,252123.40727225412,0.0,4423.115563503416,5730.63600364402,2119.192784420225,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,12,2,242657.87060658252,19072.737549429694,46696.28973571346,2324.1121170085853
0.0,93882.31225333334,114599.28197863746,26951.135673238387,252302.73593161383,0.0,4411.508156118398,5715.60237845853,2113.585843429911,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,13,2,242539.26611071435,19022.275042122164,46684.047902134516,2318.0155467589384
0.0,93859.02026036191,114567.22009987225,26937.81163371116,252484.44572831472,0.0,4399.749295694237,5700.372239694745,2107.904172076854,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,14,2,242419.0901954885,18971.13995729939,46671.651665779646,2311.839301199466
0.0,93836.12116217003,114535.7317771418,26924.731650076134,252662.77947369174,0.0,4388.202736220737,5685.417476252467,2102.3270132010907,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,15,2,242301.11218054465,18920.94548586563,46659.471999932895,2305.7747106834313
0.0,93814.25248653915,114505.7344305019,26912.28396079333,252832.3698941639,0.0,4377.207170782094,5671.1774051643915,2097.020455288711,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,16,2,242188.82981805303,18873.18643035547,46647.85735203183,2299.999906837288
0.0,93793.94871891727,114477.97080126592,26900.77802287609,252988.88514985354,0.0,4367.035150748161,5658.005407498033,2092.1165780592814,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,17,2,242085.034324499,18829.051508037308,46637.093891011486,2294.6581911060957
0.0,93775.57025679099,114452.91895734711,26890.40874663203,253129.5531167261,0.0,4357.860665944936,5646.126903743298,2087.6982827987626,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,18,2,241991.486394894,18789.286826467076,46627.36942576467,2289.8409885119645
0.0,93759.26402534684,114430.7543072179,26881.243911643014,253253.38291809784,0.0,4349.7463260412405,5635.622792281956,2083.794125656608,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,19,2,241908.80053930538,18754.149396164277,46618.75608513982,2285.581122382823
0.0,93744.97440248067,114411.37643181953,26873.23751774828,253360.99831299804,0.0,4342.653951294378,5626.443258908392,2080.3841692339734,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,20,2,241836.56419723755,18723.459774402836,46611.218798328526,2281.8584058664737
0.0,93732.49266092104,114394.48172322975,26866.26072769136,253454.20540566585,0.0,4336.471444592644,5618.442680981756,2077.4132459513016,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,21,2,241773.61658930246,18696.721454704115,46604.64267270072,2278.613795037195
0.0,93721.51862907274,114379.64840773467,26860.137084411494,253535.48637170874,0.0,4331.043883187413,5611.4200049757965,2074.805983653768,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,22,2,241718.36654229453,18673.25608665676,46598.865881177735,2275.7657613725632
0.0,93711.71321045748,114366.4072152289,26854.671475359188,253607.58225635393,0.0,4326.1992457548695,5605.15214888081,2072.4791374001757,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,13,23,2,241669.0540495729,18652.314464496383,46593.70728661118,2273.2238403438123
0.0,93703.35167856875,114355.12569605389,26850.014666851624,253668.41317232116,0.0,4322.071962303053,5599.812764524297,2070.496853763015,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,14,0,2,241627.03998416016,18634.473906177962,46589.310674616085,2271.058459867886
0.0,93695.49443468987,114344.52656106204,26845.639174949916,253725.33262665677,0.0,4318.19444940531,5594.796525145695,2068.634389116905,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,14,1,2,241587.56459224873,18617.711717951977,46585.17968237412,2269.024131854344
0.0,93687.80736575308,114334.15758329081,26841.358544427938,253780.93313021175,0.0,4314.401184844937,5589.8892696283765,2066.812327165167,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,14,2,2,241548.94527408836,18601.31315599934,46581.13829385766,2267.034002873511
